id,schoolName,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,AVERAGE,RegionName,Lan,Lon,Add1,Add2,Add3
0,Abraham Lincoln Senior High,21,20,23,22,21.5,Lincoln Heights,34.0747088,-118.2036834,North Broadway,Lincoln Heights,Los Angeles
1,Academia Avance Charter,15,15,17,16,15.75,Highland Park,34.1078595,-118.1980778,North Avenue 53,Highland Park,Los Angeles
2,Academies of Education and Empowerment at Carson High,18,18,18,17,17.75,Carson,33.8211918,-118.2754598,South Main Street,Carson,Los Angeles County
3,Academy of the Canyons,29,29,25,25,27.0,Valencia,34.3996965,-118.5710296,Rockwell Canyon Road,Valencia,Santa Clarita
4,Agoura High,27,26,25,24,25.5,Agoura Hills,34.1503956,-118.7488795,West Driver Avenue,Agoura Hills,Los Angeles County
5,Alain Leroy Locke College Preparatory Academy,14,14,16,15,14.75,South Los Angeles,33.9350065,-118.2686639,East 111th Street,South Los Angeles,Los Angeles
6,Alexander Hamilton Senior High,23,23,21,21,22.0,Castle Heights,34.034135,-118.391615,South Robertson Boulevard,Castle Heights,Los Angeles
7,Alhambra High,24,25,24,23,24.0,Alhambra,34.0929744,-118.1284232,South 2nd Street,Alhambra,Los Angeles County
8,Alliance Alice M. Baxter College-Ready High,17,16,17,18,17.0,San Pedro,33.7357874,-118.2871763,West 9th Street,San Pedro,Los Angeles
9,Alliance Cindy and Bill Simon Technology Academy High,15,14,16,16,15.25,South Los Angeles,33.9386241,-118.2387171,Wilmington Avenue,South Los Angeles,Los Angeles
10,Alliance Collins Family College-Ready High,18,20,19,18,18.75,Huntington Park,33.9772019,-118.234642,Saturn Avenue,Huntington Park,Los Angeles County
11,Alliance Dr. Olga Mohan High,16,16,18,17,16.75,South Los Angeles,34.0368787,-118.2720064,West 17th Street,South Los Angeles,Los Angeles
12,Alliance Judy Ivie Burton Technology Academy High,16,16,17,17,16.5,South Los Angeles,33.944162,-118.278681,South Broadway,South Los Angeles,Los Angeles
13,Alliance Leichtman-Levine Family Foundation Environmental Science High,18,18,18,18,18.0,Northeast Los Angeles,34.1139128,-118.246668,Fletcher Drive,Northeast Los Angeles,Los Angeles
14,Alliance Marc & Eva Stern Math and Science,19,18,19,19,18.75,Northeast Los Angeles,34.0635723,-118.1708004,State University Drive,Northeast Los Angeles,Los Angeles
15,Alliance Margaret M. Bloomfield Technology Academy High,17,16,16,16,16.25,South Los Angeles,33.9667956,-118.2303853,Santa Fe Avenue,South Los Angeles,Huntington Park
16,Alliance Morgan McKinzie High,15,13,16,16,15.0,Los Angeles,34.0356467,-118.1877533,South Townsend Avenue,Los Angeles,Los Angeles County
17,Alliance Ouchi-O'Donovan 6-12 Complex,15,14,16,16,15.25,South Los Angeles,33.993461,-118.321973,5th Avenue,South Los Angeles,Los Angeles
